,route,UTM lat,UTM lon
0,r1,2271966.170054878,310694.13167862006
1,r1,2271964.028974632,310692.5120995815
2,r1,2271961.9155295114,310690.1001584437
3,r1,2271959.5957126054,310687.9258082522
4,r1,2271957.9959681947,310685.7177464155
5,r1,2271955.8411186296,310683.7433971889
6,r1,2271953.897301348,310682.6057834348
7,r1,2271952.000489189,310678.93423562427
8,r1,2271951.3832103913,310674.7032756917
9,r1,2271949.156592716,310670.81946077687
10,r1,2271947.8571989858,310668.1871120321
11,r1,2271947.0763245043,310665.4249419522
12,r1,2271946.1785305506,310663.12038524897
13,r1,2271945.3700205265,310661.15057714924
14,r1,2271944.56464267,310658.89919723955
15,r1,2271944.4124175687,310656.0605797637
16,r1,2271943.6010960373,310652.65141780965
17,r1,2271942.327949726,310649.3518468451
18,r1,2271940.588827819,310644.743357921
19,r1,2271939.2974424674,310641.3914333927
20,r1,2271939.059185298,310637.9260651611
21,r1,2271939.2765262895,310633.3184790268
22,r1,2271938.5845033396,310629.13883102837
23,r1,2271937.8724475703,310625.1675572153
24,r1,2271938.3101658076,310620.6562912152
25,r1,2271937.84153632,310616.30181965814
26,r1,2271936.673628281,310611.80397929286
27,r1,2271935.5546942637,310607.88032633136
28,r1,2271935.035417539,310603.20196366776
29,r1,2271934.8700039075,310599.75826350454
30,r1,2271935.1092400635,310595.8705808839
31,r1,2271935.0204148046,310592.9075071138
32,r1,2271933.793096817,310588.7740485031
33,r1,2271932.271927366,310584.4808711856
34,r1,2271930.8450310193,310580.0740133488
35,r1,2271929.9228991386,310576.67404037924
36,r1,2271928.9186276565,310572.3970427209
37,r1,2271927.925170083,310568.83982680633
38,r1,2271927.4911771505,310564.75691231096
39,r1,2271926.4687843723,310560.41713206936
40,r1,2271926.1155401394,310557.3363845274
41,r1,2271925.1380581143,310553.9357929461
42,r1,2271923.4522444424,310551.2052603428
43,r1,2271920.7077314914,310549.08873777953
44,r1,2271917.5792191243,310546.6550440514
45,r1,2271915.2892832207,310545.1798028643
46,r1,2271913.304975954,310542.7066929693
47,r1,2271911.565335566,310541.5296127068
48,r1,2271909.459177019,310540.05641577835
49,r1,2271907.9675068124,310539.7790661546
50,r1,2271905.389987144,310537.58095938415
51,r1,2271900.8793542804,310534.97542970075
52,r1,2271897.3722996227,310531.73441472923
53,r1,2271892.9833203936,310531.52911530214
54,r1,2271889.6682012687,310530.93943171477
55,r1,2271886.034489825,310530.72167875373
56,r1,2271882.7060222137,310531.33128647134
57,r1,2271880.1599465804,310531.28208809404
58,r1,2271878.382566231,310531.804661036
59,r1,2271877.501885112,310531.3463723974
60,r1,2271876.2846661108,310531.2806748444
61,r1,2271874.7297485,310531.711854732
62,r1,2271873.1009504395,310532.2152218493
63,r1,2271871.597905223,310532.95987690624
64,r1,2271870.3918291754,310531.8930310315
65,r1,2271869.238670164,310531.04580235726
66,r1,2271868.4486007416,310530.7032511642
67,r1,2271866.6945678024,310530.8193173568
68,r1,2271865.9214451523,310528.95418574807
69,r1,2271865.8836016497,310525.68919809
70,r1,2271865.613127643,310521.837545195
71,r1,2271865.9636266613,310516.9080918961
72,r1,2271866.4282563794,310511.573141992
73,r1,2271867.138180511,310505.8863052887
74,r1,2271868.16970956,310499.35822505713
75,r1,2271868.574047471,310492.8753127988
76,r1,2271869.55922903,310485.63748251734
77,r1,2271869.5768918223,310477.3876082016
78,r1,2271869.0967782647,310469.1947708746
79,r1,2271868.535168514,310459.9684624751
80,r1,2271868.8235692573,310450.57430901
81,r1,2271869.6038409327,310441.8531479521
82,r1,2271868.3807786866,310432.3691531697
83,r1,2271867.069311396,310420.8816252912
84,r1,2271864.159718865,310412.01506904885
85,r1,2271861.608628363,310402.47455646476
86,r1,2271859.8035259554,310393.9540534265
87,r1,2271857.6435848624,310385.67991424596
88,r1,2271855.4831283847,310377.55178601097
89,r1,2271854.4448090554,310371.36569474195
90,r1,2271853.162768419,310367.17943645024
91,r1,2271851.278799389,310364.0503262264
92,r1,2271848.576301057,310361.44402399345
93,r1,2271845.6370494775,310360.2118365411
94,r1,2271845.840228033,310361.85160172154
95,r1,2271844.629343788,310359.62696341006
96,r1,2271844.091249846,310358.2337857898
97,r1,2271844.053027861,310358.28550973104
98,r1,2271843.530733929,310357.1636867031
99,r1,2271843.999710161,310356.5118244685
100,r1,2271843.893880569,310356.07258763677
101,r1,2271843.4245562633,310355.06608406425
102,r1,2271843.5068639605,310354.33690456266
103,r1,2271842.7339921766,310352.4509034441
104,r1,2271842.0522573227,310350.73279667366
105,r1,2271842.542200386,310349.78912951343
106,r1,2271841.53042977,310347.8796065999
107,r1,2271841.7513845977,310346.23413600074
108,r1,2271841.2650444983,310345.1648626976
109,r1,2271841.399570149,310344.71787354845
110,r1,2271841.254883121,310344.4868026603
111,r1,2271842.588039925,310344.08445739886
112,r1,2271844.0484574502,310343.7878295307
113,r1,2271843.8603831516,310342.4819904618
114,r1,2271845.295653135,310341.16294758895
115,r1,2271847.0405755183,310338.58533117303
116,r1,2271849.164382084,310336.7837527029
117,r1,2271851.9701022143,310335.0940717849
118,r1,2271855.1653959663,310333.2209930096
